district,schl1,enrollment,asian_pct,black_pct,hispanic_pct,white_pct,pct_frl,ed_lesshs,positive_env,mathscore_gain_std
1129,935,316,0,0.003355705,0.016778523,0.956375837,0.632867128,17.79999924,0,-0.319168059
2859,2339,630,0.003262643,0,0.009787928,0.970636189,0.299373038,21.5,0,-0.037224479
5744,6150,516,0.00407332,0.028513238,0.012219959,0.912423611,0.324324317,11.39999962,1,-0.098386718
3009,2466,635,0.039787799,0.074270554,0.026525199,0.819628656,0.029950082,3.299999952,0,1.541753005
3319,2727,457,0.016018307,0.011441648,0.022883296,0.933638453,0.075431036,10,0,1.813907338
5374,5399,458,0.004329004,0.523809552,0.021645023,0.361471862,0.329192542,7.599999905,1,0.683436038
239,70,257,0.003891051,0.346303493,0.070038907,0.52140075,0.414383546,16,1,-2.316003495
5949,6398,252,0.004201681,0,0.033613447,0.924369752,0.243445702,22.89999962,0,-0.458220503
5364,5363,481,0.002141328,0.314775169,0.006423983,0.614561021,0.600472823,16.39999962,1,-0.864133371
239,129,616,0.057283141,0.384615391,0.356792152,0.145662844,0.850993365,16,1,-0.482519555
4929,4366,362,0.01369863,0.148401827,0.047945205,0.744292259,0.226562496,20.79999924,0,1.027742407
5524,5982,428,0,0,0,0.972972989,0.551724136,31.5,0,-1.403216637
5344,5338,442,0.002475247,0.113861389,0.101485148,0.740099013,0.584466025,13.80000019,0,0.091858475
879,702,429,0.009661836,0.014492754,0.176328495,0.758454084,0.563186809,21.89999962,1,-0.658340484
5744,6127,421,0.002304147,0,0.002304147,0.981566846,0.227499999,11.39999962,0,0.521663131
1839,1352,376,0.002624672,0,0.020997375,0.963254571,0.286089249,15.19999981,1,-0.23644876
239,157,588,0.008880994,0.275310844,0.037300177,0.602131426,0.421824105,16,0,-0.779749704
5384,5454,520,0.013358778,0.034351144,0.024809161,0.889312983,0.339191556,19.70000076,0,0.2435623
3679,3128,384,0.008426966,0.02247191,0.044943821,0.887640476,0.519841269,19.29999924,0,0.176122813
4619,3832,611,0.012638231,0.007898894,0.061611373,0.890995264,0.056316591,8.600000381,1,1.500054505
3034,2485,594,0.024561403,0.01754386,0.019298246,0.912280679,0.061946902,7.699999809,0,1.846982434
2264,1698,271,0.007604563,0.022813689,0.011406844,0.908745229,0.225961544,22.60000038,0,-0.535091556
5304,5178,545,0.003683241,0.123388581,0.033149172,0.819521189,0.531623937,21.29999924,0,0.166349837
2399,1890,323,0.009230769,0.021538461,0,0.950769246,0.533762053,26.20000076,0,0.348489157
2869,2362,453,0.006726457,0.181614354,0.049327355,0.639013469,0.535307508,24.29999924,1,-1.354340351
879,706,437,0.004672897,0.028037382,0.294392526,0.609813094,0.668650776,21.89999962,0,-1.136693104
3629,3074,359,0,0,0.007092198,0.959810853,0.542780727,15,0,-0.950420539
3449,2826,195,0.006097561,0.054878049,0.006097561,0.810975611,0.386473417,23.29999924,0,0.123186958
5744,6116,246,0.004048583,0,0.036437247,0.939271271,0.232209735,11.39999962,0,0.514980723
4714,4448,414,0.002202643,0.090308368,0.687224686,0.193832606,0.966292128,24.39999962,0,-1.021157451
4539,3724,487,0,0,0.150712833,0.820773959,0.30078125,24.89999962,1,0.502309986
3334,2744,539,0.008650519,0.006920415,0.015570934,0.946366787,0.145488027,16.29999924,0,1.51026444
5354,5373,797,0.029268293,0.567073166,0.051219512,0.280487806,0.171794876,7.900000095,0,0.619761906
1604,1158,288,0,0,0,0.983539104,0.134680133,21.79999924,0,-0.449197428
5344,5331,640,0.021875,0.084375001,0.0125,0.850000024,0.24447174,13.80000019,0,0.55310281
1974,1502,386,0.002610966,0.18276763,0.007832898,0.738903403,0.713973805,23.79999924,0,-1.471531164
4714,4450,311,0.005698006,0.225071222,0.247863248,0.452991456,0.409090899,24.39999962,1,0.145896507
1974,1463,443,0.007194245,0.129496396,0.007194245,0.800959229,0.655319154,23.79999924,1,0.760738856
3464,2888,373,0.008213553,0.057494868,0.018480493,0.848049283,0.339912273,13.80000019,0,-0.313398249
1304,1030,192,0,0,0,1,0.606060609,29.39999962,0,0.047332128
5364,5364,407,0.009433962,0.599056602,0.018867925,0.285377353,0.512195133,16.39999962,0,-0.844053027
2279,1690,271,0.007042253,0.014084507,0.003521127,0.922535241,0.327067673,24.10000038,0,-0.00686935
2984,2453,345,0.003125,0,0.003125,0.987500012,0.378378391,19.70000076,0,1.135415732
5934,6386,393,0.002631579,0,0.005263158,0.984210551,0.169665813,17.5,0,-0.238286084
819,666,325,0,0,0.024539877,0.966257691,0.19452887,12.5,0,0.423312479
4519,3679,491,0.002212389,0.004424779,0.042035397,0.92920351,0.270321362,20,0,-0.416649706
5279,5026,729,0.003257329,0.057003256,0.030944625,0.859934866,0.453846142,20,1,-0.448910857
1879,1358,549,0.005576208,0.014869888,0.003717472,0.962825298,0.142857142,10.30000019,0,1.84937406
2869,2386,493,0.008849557,0.10840708,0.026548672,0.701327443,0.373786412,24.29999924,1,-0.507924901
4654,3882,290,0.003344482,0.4381271,0.07692308,0.397993296,0.702875391,29.39999962,0,0.159965276
2869,2262,349,0.006944444,0.201388896,0.027777778,0.607638896,0.512903214,24.29999924,1,-0.454267921
239,250,287,0.009287925,0.331269354,0.22291021,0.359133124,0.940860219,16,0,-1.169249412
4349,3630,548,0.009310987,0.009310987,0.096834265,0.843575418,0.307432428,15.89999962,0,0.305635562
5934,6368,595,0.001692047,0.001692047,0.020304568,0.957698822,0.159445411,17.5,1,-0.388877564
3449,2854,311,0.006688963,0,0,0.969899654,0.146031749,23.29999924,0,0.457630091
239,144,306,0.031141868,0.242214531,0.048442908,0.636678219,0.380952366,16,0,0.389356759
